sample_event_id,scientific_name,updated_scientific_name,taxonomic_id,id_type
POR-MAD_seagrass_2022,Caretta caretta/Chelonia mydas,Cheloniidae,136999,Aphia ID
POR-MAD_seagrass_2022,Surmuletus mullus (JUV),Mullus surmuletus,126986,Aphia ID
POR-MAD_seagrass_2022,Holothuria sp.,Holothuria,123456,Aphia ID
POR-MAD_seagrass_2022,Xyrichtys novacula (JUV),Xyrichtys novacula,126971,Aphia ID
POR-MAD_seagrass_2022,Xyrichtys novacula,Xyrichtys novacula,126971,Aphia ID
POR-MAD_seagrass_2022,Sphoeroides marmoratus,Sphoeroides marmoratus,127416,Aphia ID
POR-MAD_seagrass_2022,Canthigaster capistrata,Canthigaster capistrata,234105,Aphia ID
POR-MAD_seagrass_2022,Pagellus erythtinus,Pagellus erythrinus,127060,Aphia ID
POR-MAD_seagrass_2022,Astropecten aranciacus,Astropecten aranciacus,123856,Aphia ID
POR-MAD_seagrass_2022,Cryptosoma cristatum,Cryptosoma cristatum,107272,Aphia ID
POR-MAD_seagrass_2022,Heteroconger longissimus,Heteroconger longissimus,126288,Aphia ID
POR-MAD_seagrass_2022,Hippocampus sp.,Hippocampus,126224,Aphia ID
POR-MAD_seagrass_2022,Sparisoma cretense (juvenile),Sparisoma cretense,231441,Aphia ID
POR-MAD_seagrass_2022,Spondyliosoma cantharus,Spondyliosoma cantharus,127066,Aphia ID
POR-MAD_seagrass_2022,CYN,Cymodocea nodosa,145793,Aphia ID
POR-MAD_seagrass_2022,Caulerpa,Caulerpa,143816,Aphia ID
POR-MAD_seagrass_2022,Green filamentous algae,Chlorophyta,801,Aphia ID
POR-MAD_seagrass_2022,Red filamentous algae,Rhodophyta,852,Aphia ID
POR-MAD_seagrass_2022,astropecten aranciacus,Astropecten aranciacus,123856,Aphia ID
