version,level,protocol,table,column_name,data_type
1,1,sediment-organic-matter,sample-metadata,site_code,
1,1,sediment-organic-matter,sample-metadata,location_name,
1,1,sediment-organic-matter,sample-metadata,transect,
1,1,sediment-organic-matter,sample-metadata,sample_collection_year,
1,1,sediment-organic-matter,sample-metadata,sample_collection_month,
1,1,sediment-organic-matter,sample-metadata,sample_collection_day,
1,1,sediment-organic-matter,sample-metadata,data_collector,
1,1,sediment-organic-matter,sample-metadata,data_entry_person,
1,1,sediment-organic-matter,sample-metadata,sample_metadata_notes,
1,1,sediment-organic-matter,sample-data,site_code,
1,1,sediment-organic-matter,sample-data,location_name,
1,1,sediment-organic-matter,sample-data,transect,
1,1,sediment-organic-matter,sample-data,quadrat,
1,1,sediment-organic-matter,sample-data,sample_collection_year,
1,1,sediment-organic-matter,sample-data,sample_collection_month,
1,1,sediment-organic-matter,sample-data,sample_collection_day,
1,1,sediment-organic-matter,sample-data,sample_processing_year,
1,1,sediment-organic-matter,sample-data,sample_processing_month,
1,1,sediment-organic-matter,sample-data,sample_processing_day,
1,1,sediment-organic-matter,sample-data,tin_mass_g,
1,1,sediment-organic-matter,sample-data,sediment_volume_ml,
1,1,sediment-organic-matter,sample-data,tin_and_sediment_dry_mass_g,
1,1,sediment-organic-matter,sample-data,tin_and_sediment_ash_free_dry_mass_g,
1,1,sediment-organic-matter,sample-data,sample_processing_person,
1,1,sediment-organic-matter,sample-data,sample_data_notes,
1,2,sediment-organic-matter,sample-metadata,sample_event_id,STRING
1,2,sediment-organic-matter,sample-metadata,observatory_code,STRING
1,2,sediment-organic-matter,sample-metadata,location_name,STRING
1,2,sediment-organic-matter,sample-metadata,transect,TINYINT
1,2,sediment-organic-matter,sample-metadata,sample_collection_date,DATE
1,2,sediment-organic-matter,sample-metadata,sample_processing_date,DATE
1,2,sediment-organic-matter,sample-metadata,sample_metadata_notes,STRING
1,2,sediment-organic-matter,sample-data,sample_event_id,STRING
1,2,sediment-organic-matter,sample-data,observatory_code,STRING
1,2,sediment-organic-matter,sample-data,location_name,STRING
1,2,sediment-organic-matter,sample-data,transect,TINYINT
1,2,sediment-organic-matter,sample-data,quadrat,INT
1,2,sediment-organic-matter,sample-data,sample_collection_date,DATE
1,2,sediment-organic-matter,sample-data,sediment_volume_ml,DOUBLE
1,2,sediment-organic-matter,sample-data,sediment_dry_mass_g,DOUBLE
1,2,sediment-organic-matter,sample-data,sediment_ash_free_dry_mass_g,DOUBLE
1,2,sediment-organic-matter,sample-data,sample_data_notes,STRING
